name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Papua New Guinea,2022-02-17,33.1,24,26.7,39.4,24,28.9,24.2,87.1,58,100,4.17,rain,0,0,27.7,22.3,311.7,1005.2,75.4,13,135.7,11.8,6,10,2022-02-17T06:13:35,2022-02-17T18:36:46,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"92035099999,AYPY"
Papua New Guinea,2022-02-18,30.2,24,26.7,35.2,24,28.8,24,85.9,10,100,4.17,rain,0,0,27,27.7,315.4,1006.4,69.6,14.5,164.3,14.2,6,30,2022-02-18T06:13:45,2022-02-18T18:36:27,0.55,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"92035099999,remote,AYPY"
Papua New Guinea,2022-02-19,34,25,28.5,40.6,25,31.8,24.5,80.9,0.2,100,4.17,rain,0,0,27.7,18.4,318.7,1005.9,63.5,13,295.6,25.6,10,30,2022-02-19T06:13:55,2022-02-19T18:36:06,0.58,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"92035099999,AYPY"
Papua New Guinea,2022-02-20,33,25,27.9,40.7,25,30.8,24.4,82.4,0.4,100,4.17,rain,0,0,21.6,27.7,302.5,1004.9,83.8,15.7,279.1,24.1,10,30,2022-02-20T06:14:04,2022-02-20T18:35:45,0.62,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"92035099999,remote,AYPY"
Papua New Guinea,2022-02-21,32,25,27.7,36.8,25,29.8,24.2,82.6,0,0,0,rain,0,0,27.7,27.7,311.8,1005.4,65.9,12.9,279.7,24.2,9,30,2022-02-21T06:14:12,2022-02-21T18:35:23,0.66,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"92035099999,AYPY"
Papua New Guinea,2022-02-22,33,23,27.5,39.3,23,29.6,24,82.6,0.7,100,4.17,rain,0,0,37.1,27.7,301.7,1006,62.4,13.5,211.3,18.2,9,30,2022-02-22T06:14:20,2022-02-22T18:35:01,0.69,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"92035099999,remote,AYPY"
Papua New Guinea,2022-02-23,31,24,26,36.6,24,27.3,23.7,88.4,16,100,4.17,rain,0,0,42.8,31.7,323.4,1008.2,84.3,12.2,236.1,20.3,9,30,2022-02-23T06:14:28,2022-02-23T18:34:38,0.73,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"92035099999,remote,AYPY"
Papua New Guinea,2022-02-24,31.1,23,26.5,35.5,23,27.8,22.8,81.8,0.6,100,4.17,rain,0,0,46.4,37.1,336.5,1007.6,80.6,13.1,102.5,8.7,6,10,2022-02-24T06:14:35,2022-02-24T18:34:14,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"92035099999,remote,AYPY"
Papua New Guinea,2022-02-25,33,23.7,27.2,36.2,23.7,28.5,21.9,74.4,0.2,100,4.17,rain,0,0,64.8,46.4,324.3,1006.5,74.9,12.9,210.5,18.2,9,10,2022-02-25T06:14:41,2022-02-25T18:33:49,0.8,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"92035099999,remote,AYPY"
Papua New Guinea,2022-02-26,26.1,23,24.6,26.1,23,24.6,22.9,90.6,0.6,100,4.17,rain,0,0,55.4,27.7,326.1,1008,92.3,11.7,68.9,5.8,6,10,2022-02-26T06:14:47,2022-02-26T18:33:24,0.83,"Rain, Overcast",Cloudy skies throughout the day with morning rain.,rain,"92035099999,remote,AYPY"
Papua New Guinea,2022-02-27,33,22,26.7,38.1,22,28.7,22.5,78.8,0,0,0,,0,0,33.5,37.1,316.1,1007.8,66.7,13.5,280.9,24.4,10,10,2022-02-27T06:14:52,2022-02-27T18:32:58,0.87,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"92035099999,remote,AYPY"
Papua New Guinea,2022-02-28,32,23,27.3,36.8,23,29.9,23.4,80.1,0.2,100,4.17,rain,0,0,46.4,27.7,320.3,1007.4,83.3,15.1,76.5,6.7,6,10,2022-02-28T06:14:57,2022-02-28T18:32:32,0.91,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"92035099999,remote,AYPY"
Papua New Guinea,2022-03-01,30,24,26.4,35.2,24,27.9,23.7,85.7,1,100,4.17,rain,0,0,34.9,25.2,338.9,1007.9,86.2,12.8,126.6,9.9,4,10,2022-03-01T06:15:01,2022-03-01T18:32:05,0.94,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"92035099999,remote,AYPY"
Papua New Guinea,2022-03-02,28,23,25,32,23,25.4,23.7,92.4,4.2,100,8.33,rain,0,0,37.1,27.7,331,1008.4,79.8,10.9,131.1,10.5,5,10,2022-03-02T06:15:05,2022-03-02T18:31:37,0.98,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"92035099999,remote,AYPY"
Papua New Guinea,2022-03-03,32.1,22,26.8,38,22,28.9,23.5,82.4,0.1,100,4.17,rain,0,0,16.2,27.7,316.5,1008.1,54.8,13.2,282.7,22.2,10,10,2022-03-03T06:15:08,2022-03-03T18:31:09,0,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"92035099999,remote,AYPY"
